country,date,total_cases,new_cases,total_deaths,new_deaths
South Africa,2020-03-06,1,1,0,0
South Africa,2020-03-07,,,,
South Africa,2020-03-08,2,1,0,0
South Africa,2020-03-09,3,1,0,0
South Africa,2020-03-10,7,4,0,0
South Africa,2020-03-11,,,,
South Africa,2020-03-12,13,6,0,0
South Africa,2020-03-13,17,4,0,0
South Africa,2020-03-14,24,7,0,0
South Africa,2020-03-15,24,0,0,0
South Africa,2020-03-16,51,27,0,0
South Africa,2020-03-17,62,11,0,0
South Africa,2020-03-18,85,23,0,0
South Africa,2020-03-19,116,31,0,0
South Africa,2020-03-20,150,34,0,0
South Africa,2020-03-21,205,55,0,0
South Africa,2020-03-22,240,35,0,0
South Africa,2020-03-23,274,34,0,0
South Africa,2020-03-24,402,128,0,0
South Africa,2020-03-25,557,155,0,0
South Africa,2020-03-26,709,152,0,0
South Africa,2020-03-27,927,218,2,2
South Africa,2020-03-28,1170,243,2,0
South Africa,2020-03-29,1187,17,2,0
South Africa,2020-03-30,1280,93,2,0
South Africa,2020-03-31,1326,46,3,1
South Africa,2020-04-01,1353,27,5,2
South Africa,2020-04-02,1380,27,5,0
South Africa,2020-04-03,1462,82,5,0
South Africa,2020-04-04,1505,43,7,2
South Africa,2020-04-05,1585,80,9,2
South Africa,2020-04-06,1655,70,11,2
South Africa,2020-04-07,1686,31,12,1
South Africa,2020-04-08,1749,63,13,1
South Africa,2020-04-09,1845,96,18,5
South Africa,2020-04-10,1934,89,18,0
South Africa,2020-04-11,2003,69,24,6
South Africa,2020-04-12,2028,25,25,1
South Africa,2020-04-13,2173,145,25,0
South Africa,2020-04-14,2272,99,27,2
South Africa,2020-04-15,2415,143,27,0
South Africa,2020-04-16,2506,91,34,7
South Africa,2020-04-17,2605,99,48,14
South Africa,2020-04-18,2783,178,50,2
South Africa,2020-04-19,3034,251,52,2
South Africa,2020-04-20,3158,124,54,2
South Africa,2020-04-21,3300,142,58,4
South Africa,2020-04-22,3465,165,58,0
South Africa,2020-04-23,3635,170,65,7
South Africa,2020-04-24,3953,318,75,10
South Africa,2020-04-25,4220,267,79,4
South Africa,2020-04-26,4361,141,86,7
South Africa,2020-04-27,4546,185,87,1
South Africa,2020-04-28,4793,247,90,3
South Africa,2020-04-29,4996,203,93,3
South Africa,2020-04-30,5350,354,103,10
South Africa,2020-05-01,5647,297,103,0
South Africa,2020-05-02,5951,304,116,13
South Africa,2020-05-03,6336,385,123,7
South Africa,2020-05-04,6783,447,131,8
South Africa,2020-05-05,7220,437,138,7
South Africa,2020-05-06,7572,352,148,10
South Africa,2020-05-07,7808,236,153,5
South Africa,2020-05-08,8232,424,161,8
South Africa,2020-05-09,8895,663,178,17
South Africa,2020-05-10,9420,525,186,8
South Africa,2020-05-11,10015,595,194,8
South Africa,2020-05-12,10652,637,206,12
South Africa,2020-05-13,11350,698,206,0
South Africa,2020-05-14,12074,724,219,13
South Africa,2020-05-15,12739,665,238,19
South Africa,2020-05-16,13524,785,247,9
South Africa,2020-05-17,14355,831,261,14
South Africa,2020-05-18,15515,1160,264,3
South Africa,2020-05-19,16433,918,286,22
South Africa,2020-05-20,17200,767,312,26
South Africa,2020-05-21,18003,803,339,27
South Africa,2020-05-22,19137,1134,369,30
South Africa,2020-05-23,20125,988,397,28
South Africa,2020-05-24,21343,1218,407,10
South Africa,2020-05-25,22583,1240,429,22
South Africa,2020-05-26,23615,1032,481,52
South Africa,2020-05-27,24264,649,524,43
South Africa,2020-05-28,25937,1673,552,28
South Africa,2020-05-29,27403,1466,577,25
South Africa,2020-05-30,29240,1837,611,34
South Africa,2020-05-31,30967,1727,643,32
South Africa,2020-06-01,32683,1716,683,40
South Africa,2020-06-02,34357,1674,705,22
South Africa,2020-06-03,35812,1455,755,50
South Africa,2020-06-04,37525,1713,792,37
South Africa,2020-06-05,40792,3267,848,56
South Africa,2020-06-06,43434,2642,908,60
South Africa,2020-06-07,45973,2539,952,44
South Africa,2020-06-08,48285,2312,998,46
South Africa,2020-06-09,50879,2594,1080,82
South Africa,2020-06-10,52991,2112,1162,82
South Africa,2020-06-11,55421,2430,1210,48
South Africa,2020-06-12,58568,3147,1289,79
South Africa,2020-06-13,61927,3359,1354,65
South Africa,2020-06-14,65736,3809,1423,69
South Africa,2020-06-15,70038,4302,1480,57
South Africa,2020-06-16,73533,3495,1568,88
South Africa,2020-06-17,76334,2801,1625,57
South Africa,2020-06-18,80412,4078,1674,49
South Africa,2020-06-19,83890,3478,1737,63
South Africa,2020-06-20,87715,3825,1831,94
South Africa,2020-06-21,92681,4966,1877,46
South Africa,2020-06-22,97302,4621,1930,53
South Africa,2020-06-23,101590,4288,1991,61
South Africa,2020-06-24,106108,4518,2102,111
South Africa,2020-06-25,111796,5688,2205,103
South Africa,2020-06-26,118375,6579,2292,87
South Africa,2020-06-27,124590,6215,2340,48
South Africa,2020-06-28,131800,7210,2413,73
South Africa,2020-06-29,138134,6334,2456,43
South Africa,2020-06-30,144264,6130,2529,73
South Africa,2020-07-01,151209,6945,2657,128
South Africa,2020-07-02,159333,8124,2749,92
South Africa,2020-07-03,168061,8728,2844,95
South Africa,2020-07-04,177124,9063,2952,108
South Africa,2020-07-05,187977,10853,3026,74
South Africa,2020-07-06,196750,8773,3199,173
South Africa,2020-07-07,205721,8971,3310,111
South Africa,2020-07-08,215855,10134,3502,192
South Africa,2020-07-09,224665,8810,3602,100
