country,date,total_cases,new_cases,total_deaths,new_deaths
Zambia,2020-03-19,2,2,0,0
Zambia,2020-03-20,2,0,0,0
Zambia,2020-03-21,2,0,0,0
Zambia,2020-03-22,2,0,0,0
Zambia,2020-03-23,3,1,0,0
Zambia,2020-03-24,3,0,0,0
Zambia,2020-03-25,3,0,0,0
Zambia,2020-03-26,12,9,0,0
Zambia,2020-03-27,14,2,0,0
Zambia,2020-03-28,16,2,0,0
Zambia,2020-03-29,28,12,0,0
Zambia,2020-03-30,29,1,0,0
Zambia,2020-03-31,35,6,0,0
Zambia,2020-04-01,35,0,0,0
Zambia,2020-04-02,36,1,0,0
Zambia,2020-04-03,39,3,1,1
Zambia,2020-04-04,39,0,1,0
Zambia,2020-04-05,39,0,1,0
Zambia,2020-04-06,39,0,1,0
Zambia,2020-04-07,39,0,1,0
Zambia,2020-04-08,39,0,1,0
Zambia,2020-04-09,39,0,1,0
Zambia,2020-04-10,39,0,1,0
Zambia,2020-04-11,40,1,2,1
Zambia,2020-04-12,40,0,2,0
Zambia,2020-04-13,43,3,2,0
Zambia,2020-04-14,45,2,2,0
Zambia,2020-04-15,45,0,2,0
Zambia,2020-04-16,48,3,2,0
Zambia,2020-04-17,48,0,2,0
Zambia,2020-04-18,52,4,2,0
Zambia,2020-04-19,57,5,2,0
Zambia,2020-04-20,61,4,3,1
Zambia,2020-04-21,65,4,3,0
Zambia,2020-04-22,65,0,3,0
Zambia,2020-04-23,74,9,3,0
Zambia,2020-04-24,76,2,3,0
Zambia,2020-04-25,84,8,3,0
Zambia,2020-04-26,84,0,3,0
Zambia,2020-04-27,88,4,3,0
Zambia,2020-04-28,89,1,3,0
Zambia,2020-04-29,95,6,3,0
Zambia,2020-04-30,97,2,3,0
Zambia,2020-05-01,106,9,3,0
Zambia,2020-05-02,109,3,3,0
Zambia,2020-05-03,119,10,3,0
Zambia,2020-05-04,124,5,3,0
Zambia,2020-05-05,137,13,3,0
Zambia,2020-05-06,139,2,4,1
Zambia,2020-05-07,146,7,4,0
Zambia,2020-05-08,153,7,4,0
Zambia,2020-05-09,167,14,4,0
Zambia,2020-05-10,252,85,7,3
Zambia,2020-05-11,267,15,7,0
Zambia,2020-05-12,267,0,7,0
Zambia,2020-05-13,441,174,7,0
Zambia,2020-05-14,446,5,7,0
Zambia,2020-05-15,654,208,7,0
Zambia,2020-05-16,668,14,7,0
Zambia,2020-05-17,679,11,7,0
Zambia,2020-05-18,753,74,7,0
Zambia,2020-05-19,761,8,7,0
Zambia,2020-05-20,772,11,7,0
Zambia,2020-05-21,832,60,7,0
Zambia,2020-05-22,866,34,7,0
Zambia,2020-05-23,920,54,7,0
Zambia,2020-05-24,920,0,7,0
Zambia,2020-05-25,920,0,7,0
Zambia,2020-05-26,920,0,7,0
Zambia,2020-05-27,920,0,7,0
Zambia,2020-05-28,1057,137,7,0
Zambia,2020-05-29,1057,0,7,0
Zambia,2020-05-30,1057,0,7,0
Zambia,2020-05-31,1057,0,7,0
Zambia,2020-06-01,1057,0,7,0
Zambia,2020-06-02,1089,32,7,0
Zambia,2020-06-03,1089,0,7,0
Zambia,2020-06-04,1089,0,7,0
Zambia,2020-06-05,1111,22,7,0
Zambia,2020-06-06,1111,0,7,0
Zambia,2020-06-07,1154,43,7,0
Zambia,2020-06-08,1154,0,7,0
Zambia,2020-06-09,1200,46,10,3
Zambia,2020-06-10,1200,0,10,0
Zambia,2020-06-11,1252,52,10,0
Zambia,2020-06-12,1252,0,10,0
Zambia,2020-06-13,1321,69,10,0
Zambia,2020-06-14,1357,36,10,0
Zambia,2020-06-15,1358,1,11,1
Zambia,2020-06-16,1382,24,11,0
Zambia,2020-06-17,1405,23,11,0
Zambia,2020-06-18,1412,7,11,0
Zambia,2020-06-19,1416,4,11,0
Zambia,2020-06-20,1430,14,11,0
Zambia,2020-06-21,1430,0,11,0
Zambia,2020-06-22,1430,0,11,0
Zambia,2020-06-23,1430,0,11,0
Zambia,2020-06-24,1477,47,18,7
Zambia,2020-06-25,1489,12,18,0
Zambia,2020-06-26,1497,8,18,0
Zambia,2020-06-27,1531,34,21,3
Zambia,2020-06-28,1531,0,21,0
Zambia,2020-06-29,1557,26,22,1
Zambia,2020-06-30,1568,11,22,0
Zambia,2020-07-01,1594,26,24,2
Zambia,2020-07-02,1632,38,30,6
Zambia,2020-07-03,1632,0,30,0
Zambia,2020-07-04,1632,0,30,0
Zambia,2020-07-05,1632,0,30,0
Zambia,2020-07-06,1632,0,30,0
Zambia,2020-07-07,1632,0,30,0
Zambia,2020-07-08,1895,263,42,12
Zambia,2020-07-09,1895,0,42,0
